client_id,instrument_code,instrument_name,instrument_type,sector_tag,current_value,cost_basis,allocation_pct,purchase_date,sip_active,sip_amount
JHV-008,100520,Mirae Asset Large Cap Fund - Regular Growth,MF,LARGECAP,1343284,1132165,29.9,2023-02-22,TRUE,27000
JHV-008,100381,SBI Flexi Cap Fund - Regular Growth,MF,DIVERSIFIED,1343284,1295458,29.9,2024-12-02,TRUE,27000
JHV-008,100497,Kotak Emerging Equity Fund - Regular Growth,MF,MIDCAP,1007463,887132,22.4,2023-01-13,TRUE,20000
JHV-008,100118,SBI Banking & Financial Services Fund - Regular Growth,MF,BANKING,805970,680606,17.9,2023-04-07,TRUE,16000
JHV-009,100497,Kotak Emerging Equity Fund - Regular Growth,MF,MIDCAP,2700000,2527989,22.5,2023-05-15,TRUE,54000
JHV-009,120586,SBI Small Cap Fund - Regular Growth,MF,SMALLCAP,2250000,1861688,18.7,2024-09-04,TRUE,45000
JHV-009,112227,HDFC Flexi Cap Fund - Regular Growth,MF,DIVERSIFIED,2250000,1982016,18.7,2023-02-25,TRUE,45000
JHV-009,106100,ICICI Prudential Banking & Financial Fund - Regular Growth,MF,BANKING,1800000,1846376,15.0,2024-04-28,TRUE,36000
JHV-009,100104,SBI Technology Opportunities Fund - Regular Growth,MF,IT,1500000,1231723,12.5,2024-01-13,TRUE,30000
JHV-009,100116,SBI Energy Opportunities Fund - Regular Growth,MF,ENERGY,1500000,1223740,12.5,2024-05-14,TRUE,30000
JHV-010,105070,Nippon India Large Cap Fund - Regular Growth,MF,LARGECAP,1384615,1216263,46.2,2023-04-10,TRUE,28000
JHV-010,100474,Parag Parikh Flexi Cap Fund - Regular Growth,MF,DIVERSIFIED,923077,744613,30.8,2023-12-11,TRUE,18000
JHV-010,119364,SBI Liquid Fund - Regular Growth,MF,LIQUID,692308,739213,23.1,2023-01-17,TRUE,14000
PMS-BJ53,NSE:CPSEETF,CPSE ETF,ETF,ENERGY,414650,403614,8.2,2024-06-15,FALSE,0
PMS-BJ53,NSE:GOLDBEES,Nippon India Gold BeES,ETF,GOLD,459909,322699,9.1,2024-06-15,FALSE,0
PMS-BJ53,NSE:LIQUIDCASE,ICICI Pru Liquid ETF,ETF,LIQUID,941086,934422,18.6,2024-06-15,FALSE,0
PMS-BJ53,NSE:LUPIN,Lupin Ltd,STOCK,PHARMA,199746,203052,3.9,2024-06-15,FALSE,0
PMS-BJ53,NSE:NTPC,NTPC Ltd,STOCK,ENERGY,431130,402606,8.5,2024-06-15,FALSE,0
PMS-BJ53,NSE:OIL,Oil India Ltd,STOCK,ENERGY,416582,420690,8.2,2024-06-15,FALSE,0
PMS-BJ53,NSE:ONGC,ONGC Ltd,STOCK,ENERGY,415746,409088,8.2,2024-06-15,FALSE,0
PMS-BJ53,NSE:PFC,Power Finance Corp,STOCK,ENERGY,433066,432594,8.5,2024-06-15,FALSE,0
PMS-BJ53,NSE:PSUBNKBEES,Nippon India PSU Bank ETF,ETF,BANKING,210847,196982,4.2,2024-06-15,FALSE,0
PMS-BJ53,NSE:SILVERBEES,Nippon India Silver ETF,ETF,COMMODITIES,122333,127306,2.4,2024-06-15,FALSE,0
PMS-BJ53,NSE:SUNDARMFIN,Sundaram Finance,STOCK,BANKING,186408,191938,3.7,2024-06-15,FALSE,0
PMS-BJ53,NSE:TATASTEEL,Tata Steel,STOCK,METAL,408802,409880,8.1,2024-06-15,FALSE,0
PMS-BJ53,NSE:UNIONBANK,Union Bank of India,STOCK,BANKING,432381,402150,8.5,2024-06-15,FALSE,0
PMS-JR100,NSE:BANKBEES,Nippon India Bank BeES,ETF,BANKING,2613251,2548903,5.2,2024-06-15,FALSE,0
PMS-JR100,NSE:CPSEETF,CPSE ETF,ETF,ENERGY,4141727,3990726,8.2,2024-06-15,FALSE,0
PMS-JR100,NSE:FMCGIETF,FMCG ETF,ETF,FMCG,916869,988356,1.8,2024-06-15,FALSE,0
PMS-JR100,NSE:GOLDBEES,Nippon India Gold BeES,ETF,GOLD,9731812,5331184,19.3,2024-06-15,FALSE,0
PMS-JR100,NSE:GROWWDEFNC,Groww Defence ETF,ETF,DEFENCE,1274440,1302436,2.5,2024-06-15,FALSE,0
PMS-JR100,NSE:HNGSNGEBEES,Hang Seng BeES,ETF,INTERNATIONAL,805485,636263,1.6,2024-06-15,FALSE,0
PMS-JR100,NSE:ICICIBSESENSEXETF,ICICI Pru Sensex ETF,ETF,INDEX,843061,819859,1.7,2024-06-15,FALSE,0
PMS-JR100,NSE:JUNIORBEES,Nippon India Nifty Next 50,ETF,INDEX,1661826,1511418,3.3,2024-06-15,FALSE,0
PMS-JR100,NSE:LIQUIDCASE,ICICI Pru Liquid ETF,ETF,LIQUID,6345332,6294790,12.6,2024-06-15,FALSE,0
PMS-JR100,NSE:METALETF,Metal ETF,ETF,METAL,2937946,2415239,5.8,2024-06-15,FALSE,0
PMS-JR100,NSE:NIFTYBEES,Nippon India Nifty 50 BeES,ETF,INDEX,4608880,4692886,9.1,2024-06-15,FALSE,0
PMS-JR100,NSE:MIDCAPETF,Nippon India Midcap 150 ETF,ETF,MIDCAP,1329832,1362487,2.6,2024-06-15,FALSE,0
PMS-JR100,NSE:PSUBNKBEES,Nippon India PSU Bank ETF,ETF,BANKING,2612628,2062418,5.2,2024-06-15,FALSE,0
PMS-JR100,NSE:SILVERBEES,Nippon India Silver ETF,ETF,COMMODITIES,1456633,1436084,2.9,2024-06-15,FALSE,0
